POINTS,COORDINATE,DISTANCE,ANGLE
1,"(150, 150)",0.0,0
2,"(200, 200)",70.71,135
3,"(200, 220)",20.0,153
4,"(210, 240)",22.36,162
5,"(230, 260)",28.28,135
6,"(250, 260)",20.0,153
7,"(290, 280)",44.72,153
8,"(300, 280)",10.0,153
9,"(320, 290)",22.36,172
10,"(350, 300)",31.62,162
11,"(400, 300)",50.0,135
12,"(410, 310)",14.14,153
13,"(420, 340)",31.62,127
14,"(450, 350)",31.62,162
15,"(460, 350)",10.0,162
16,"(490, 360)",31.62,172
17,"(530, 380)",44.72,153
18,"(580, 380)",50.0,153
19,"(600, 390)",22.36,162
20,"(630, 420)",42.43,90
21,"(670, 380)",56.57,135
22,"(670, 350)",30.0,108
23,"(700, 340)",31.62,127
24,"(720, 280)",63.25,172
25,"(730, 260)",22.36,162
26,"(750, 240)",28.28,153
27,"(760, 210)",31.62,108
28,"(780, 210)",20.0,135
29,"(800, 190)",28.28,162
30,"(820, 180)",22.36,153
31,"(830, 180)",10.0,162
32,"(860, 170)",31.62,153
33,"(870, 160)",14.14,162
34,"(890, 150)",22.36,153
35,"(900, 150)",10.0,0
