POINTS,COORDINATE,DISTANCE,ANGLE
1,"(150.0, 150.0)",0.0,0
2,"(288.60310928212164, 264.12265660722454)",179.54,160
3,"(341.2299954275263, 352.334247828075)",102.72,144
4,"(445.55555555555554, 396.7901234567901)",113.4,160
5,"(556.3397347965249, 402.2405121170553)",110.92,154
6,"(645.2469135802469, 364.00548696844993)",96.78,162
7,"(711.358024691358, 306.1728395061728)",87.84,179
8,"(778.8317329675353, 244.32784636488333)",91.53,164
9,"(821.1825560128029, 174.2335390946502)",81.9,138
10,"(900.0, 150.0)",82.46,0
