POINTS,COORDINATE,DISTANCE,ANGLE
1,"(150.0, 150.0)",0.0,0
2,"(150.26617195980583, 151.20500318841363)",1.23,180
3,"(150.53452077294662, 152.40627199609688)",1.23,180
4,"(150.80722329275744, 153.60007204231923)",1.22,180
5,"(151.08645637257328, 154.78266894635033)",1.22,179
6,"(151.37439686572907, 155.9503283274597)",1.2,179
7,"(151.67322162555988, 157.09931580491696)",1.19,179
8,"(151.9851075054007, 158.22589699799167)",1.17,179
9,"(152.3122313585865, 159.3263375259534)",1.15,179
10,"(152.65677003845232, 160.39690300807172)",1.12,178
11,"(153.02090039833308, 161.43385906361618)",1.1,178
12,"(153.4067992915639, 162.43347131185644)",1.07,178
13,"(153.81664357147972, 163.392005372062)",1.04,178
14,"(154.25261009141548, 164.30572686350246)",1.01,177
15,"(154.7168757047063, 165.17090140544735)",0.98,177
16,"(155.21161726468708, 165.98379461716632)",0.95,176
17,"(155.73901162469286, 166.7406721179289)",0.92,176
18,"(156.30123563805864, 167.43779952700467)",0.9,175
19,"(156.9004661581194, 168.0714424636632)",0.87,175
20,"(157.53888003821015, 168.63786654717404)",0.85,175
21,"(158.21865413166594, 169.13333739680684)",0.84,174
22,"(158.9419652918217, 169.5541206318311)",0.84,174
23,"(159.71099037201242, 169.89648187151644)",0.84,174
24,"(160.5276175403897, 170.1572171682508)",0.86,174
25,"(161.3900227147098, 170.33994350139204)",0.88,175
26,"(162.29380600601573, 170.45301066398395)",0.91,176
27,"(163.23451568898648, 170.50486369373832)",0.94,177
28,"(164.20770003830083, 170.5039476283669)",0.97,177
29,"(165.20890732863768, 170.45870750558134)",1.0,178
30,"(166.23368583467584, 170.37758836309334)",1.03,179
31,"(167.2775838310941, 170.26903523861466)",1.05,179
32,"(168.33614959257133, 170.14149316985703)",1.07,180
33,"(169.40493139378646, 170.00340719453206)",1.08,180
34,"(170.47947750941825, 169.8632223503515)",1.08,180
35,"(171.55533621414548, 169.72938367502712)",1.08,179
36,"(172.6280557826471, 169.61033620627057)",1.08,179
37,"(173.69318448960195, 169.5145249817936)",1.07,178
38,"(174.7462706096888, 169.4503950393079)",1.06,178
39,"(175.7828624175865, 169.42639141652512)",1.04,177
40,"(176.798508187974, 169.45095915115712)",1.02,177
41,"(177.78875619552997, 169.53254328091546)",0.99,176
42,"(178.74915471493338, 169.67958884351197)",0.97,175
43,"(179.67525202086304, 169.90054087665825)",0.95,175
44,"(180.56279300651724, 170.20329301789386)",0.94,174
45,"(181.41005091506966, 170.5886483589845)",0.93,175
46,"(182.2170533273993, 171.05249009851602)",0.93,175
47,"(182.98386312924237, 171.59060242555822)",0.94,175
48,"(183.7105432063351, 172.19876952918102)",0.95,175
49,"(184.3971564444138, 172.8727755984545)",0.96,176
50,"(185.04376572921467, 173.6084048224485)",0.98,176
51,"(185.65043394647398, 174.40144139023295)",1.0,176
52,"(186.2172239819279, 175.24766949087785)",1.02,177
53,"(186.74419872131278, 176.1428733134531)",1.04,177
54,"(187.23142105036482, 177.08283704702853)",1.06,177
55,"(187.6789538548202, 178.06334488067424)",1.08,177
56,"(188.08686002041532, 179.0801810034601)",1.1,177
57,"(188.45520243288635, 180.129129604456)",1.11,178
58,"(188.78404397796947, 181.20597487273193)",1.13,178
59,"(189.073447541401, 182.3065009973578)",1.14,178
60,"(189.3234760089172, 183.42649216740355)",1.15,178
61,"(189.53419226625425, 184.56173257193913)",1.15,178
62,"(189.70565919914847, 185.7080064000344)",1.16,178
63,"(189.83793969333604, 186.86109784075944)",1.16,178
64,"(189.93109663455326, 188.016791083184)",1.16,178
65,"(189.9851929085363, 189.17087031637817)",1.16,178
66,"(190.00031189145773, 190.31913180099428)",1.15,178
67,"(189.9784349924733, 191.4584899906559)",1.14,178
68,"(189.9249524684815, 192.58786760207684)",1.13,179
69,"(189.8456101045966, 193.70639680520796)",1.12,179
70,"(189.74615368593282, 194.81320976999996)",1.11,179
71,"(189.63232899760453, 195.90743866640355)",1.1,179
72,"(189.50988182472588, 196.9882156643696)",1.09,180
73,"(189.38455795241114, 198.05467293384868)",1.07,180
74,"(189.26210316577465, 199.1059426447917)",1.06,180
75,"(189.14826324993058, 200.14115696714927)",1.04,179
76,"(189.04878398999324, 201.1594480708723)",1.02,179
77,"(188.96941117107684, 202.15994812591134)",1.0,179
78,"(188.91589057829566, 203.14178930221726)",0.98,178
79,"(188.89396799676402, 204.1041037697408)",0.96,178
80,"(188.90938921159605, 205.04602369843255)",0.94,177
81,"(188.96790000790614, 205.96668125824348)",0.92,177
82,"(189.0752461708085, 206.86520861912427)",0.9,176
83,"(189.2371734854174, 207.7407379510256)",0.89,176
84,"(189.45942773684703, 208.59240142389822)",0.88,175
85,"(189.74775471021172, 209.41933120769295)",0.88,175
86,"(190.10786513247007, 210.22066021593827)",0.88,175
87,"(190.54222228699575, 210.99559023991532)",0.89,175
88,"(191.04745708183947, 211.74344677464163)",0.9,176
89,"(191.619592133292, 212.46356821690415)",0.92,176
90,"(192.2546500576442, 213.15529296349018)",0.94,176
91,"(192.94865347118684, 213.8179594111868)",0.96,177
92,"(193.69762499021078, 214.450905956781)",0.98,177
93,"(194.49758723100695, 215.05347099706012)",1.0,177
94,"(195.34456280986606, 215.62499292881117)",1.02,177
95,"(196.23457434307903, 216.1648101488213)",1.04,177
96,"(197.1636444469367, 216.67226105387766)",1.06,178
97,"(198.12779573772985, 217.14668404076733)",1.07,178
98,"(199.12305083174945, 217.5874175062775)",1.09,178
99,"(200.14543234528617, 217.99379984719525)",1.1,178
100,"(201.1909628946309, 218.36516946030773)",1.11,178
101,"(202.2556650960745, 218.7008647424021)",1.12,178
102,"(203.33556156590788, 219.00022409026548)",1.12,178
103,"(204.42667492042173, 219.26258590068494)",1.12,178
104,"(205.52502777590703, 219.4872885704476)",1.12,178
105,"(206.6266427486545, 219.67367049634072)",1.12,178
106,"(207.72754245495508, 219.82107007515134)",1.11,178
107,"(208.82374951109955, 219.92882570366658)",1.1,178
108,"(209.91128653337876, 219.9962757786736)",1.09,178
109,"(210.98656547517734, 220.02409240434164)",1.08,178
110,"(212.0479921211924, 220.0197777238543)",1.06,179
111,"(213.09460879491576, 219.99301439826235)",1.05,179
112,"(214.1254580977591, 219.9534860406551)",1.03,180
113,"(215.1395826311342, 219.91087626412207)",1.02,180
114,"(216.13602499645282, 219.87486868175262)",1.0,179
115,"(217.11382779512667, 219.85514690663618)",0.98,178
116,"(218.07203362856754, 219.86139455186213)",0.96,178
117,"(219.00968509818713, 219.90329523051986)",0.94,177
118,"(219.92582480539724, 219.99053255569888)",0.92,176
119,"(220.81972553379498, 220.13130260001128)",0.9,176
120,"(221.6918388512654, 220.32618360352922)",0.89,176
121,"(222.5429926573946, 220.57332178215503)",0.89,176
122,"(223.37401501607957, 220.87086228994198)",0.88,177
123,"(224.18573399121698, 221.21695028094322)",0.88,177
124,"(224.97897764670387, 221.60973090921203)",0.89,177
125,"(225.75457404643691, 222.0473493288016)",0.89,177
126,"(226.51335125431305, 222.52795069376515)",0.9,177
127,"(227.2561373342291, 223.04968015815592)",0.91,177
128,"(227.98376035008192, 223.61068287602717)",0.92,178
129,"(228.69704836576832, 224.209104001432)",0.93,178
130,"(229.39682944518518, 224.8430886884238)",0.94,178
131,"(230.08393165222935, 225.5107820910556)",0.96,178
132,"(230.75918305079762, 226.21032936338085)",0.97,178
133,"(231.42341170478687, 226.93987565945258)",0.99,178
134,"(232.07744567809397, 227.69756613332407)",1.0,179
135,"(232.72211303461563, 228.48154593904863)",1.01,179
136,"(233.3582418382489, 229.28996023067936)",1.03,179
137,"(233.98666015289055, 230.12095416226958)",1.04,179
138,"(234.60819604243733, 230.97267288787248)",1.05,179
139,"(235.22367757078615, 231.84326156154123)",1.07,179
140,"(235.83393280183395, 232.7308653373291)",1.08,179
141,"(236.43978979947735, 233.63362936928934)",1.09,179
142,"(237.04207662761343, 234.54969881147514)",1.1,180
143,"(237.64162135013885, 235.47721881793973)",1.1,180
144,"(238.23925203095055, 236.4143345427363)",1.11,180
145,"(238.8357967339454, 237.35919113991812)",1.12,180
146,"(239.43208352302014, 238.30993376353837)",1.12,180
147,"(240.02894046207174, 239.2647075676504)",1.13,180
148,"(240.62719561499694, 240.22165770630724)",1.13,180
149,"(241.22767704569264, 241.17892933356222)",1.13,180
150,"(241.83121281805566, 242.13466760346859)",1.13,180
151,"(242.43863099598283, 243.08701767007946)",1.13,180
152,"(243.05075964337107, 244.0341246874482)",1.13,180
153,"(243.66842682411712, 244.97413380962794)",1.12,179
154,"(244.29246060211793, 245.9051901906719)",1.12,179
155,"(244.9236890412702, 246.82543898463337)",1.12,179
156,"(245.5629402054709, 247.7330253455655)",1.11,179
157,"(246.2110421586169, 248.6260944275216)",1.1,179
158,"(246.86882296460493, 249.50279138455474)",1.1,179
159,"(247.5371106873319, 250.3612613707183)",1.09,179
160,"(248.2167333906946, 251.19964954006548)",1.08,179
161,"(248.90851913858998, 252.01610104664937)",1.07,179
162,"(249.6132959949148, 252.80876104452335)",1.06,179
163,"(250.33189202356584, 253.5757746877406)",1.05,178
164,"(251.06513528844008, 254.31528713035433)",1.04,178
165,"(251.81385385343435, 255.0254435264177)",1.03,178
166,"(252.57887578244544, 255.70438902998404)",1.02,178
167,"(253.3610291393702, 256.3502687951065)",1.01,178
